Path,Category,FieldID,Field,Field_zh,Notes_zh,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link,Data
Online follow-up > Digestive health,153.0,21055,Degree bothered by feeling heart pound/race in the last 3 months,过去3个月内心悸困扰程度,"问题内容：""在过去3个月中，您被心悸困扰的程度如何？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,339.0,"Question asked: ""During the past 3 months, how much have you been bothered by feeling your heart pound or race?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21055,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 339."
Online follow-up > Digestive health,153.0,21056,Degree bothered by shortness of breath in the last 3 months,过去3个月内气短困扰程度,"问题内容：""在过去3个月中，您被气短困扰的程度如何？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,339.0,"Question asked: ""During the past 3 months, how much have you been bothered by shortness of breath?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21056,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 339."
Online follow-up > Digestive health,153.0,21057,Degree bothered by pain/problems during intercourse in the last 3 months,过去3个月内性交疼痛/问题困扰程度,"问题内容：""在过去3个月中，您被性交疼痛或问题困扰的程度如何？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1018.0,"Question asked: ""During the past 3 months, how much have you been bothered by pain or problems during intercourse?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21057,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 1018."
Online follow-up > Digestive health,153.0,21058,Degree bothered by urinary frequency/bladder irritability in the last 3 months,过去3个月内尿频/膀胱刺激困扰程度,"问题内容：""在过去3个月中，您被尿频或膀胱刺激困扰的程度如何？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,339.0,"Question asked: ""During the past 3 months, how much have you been bothered by urinary frequency or bladder irritability?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21058,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 339."
Online follow-up > Digestive health,153.0,21059,Degree bothered by nausea in the last 3 months,过去3个月内恶心困扰程度,"问题内容：""在过去3个月中，您被恶心困扰的程度如何？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,339.0,"Question asked: ""During the past 3 months, how much have you been bothered by nausea?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21059,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 339."
Online follow-up > Digestive health,153.0,21060,Degree bothered by feeling tired all the time in the last 3 months,过去3个月内持续疲倦困扰程度,"问题内容：""在过去3个月中，您被持续疲倦或精力不足困扰的程度如何？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,339.0,"Question asked: ""During the past 3 months, how much have you been bothered by feeling tired all the time or having low energy?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21060,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 339."
Online follow-up > Digestive health,153.0,21061,Degree bothered by trouble sleeping in the last 3 months,过去3个月内睡眠问题困扰程度,"问题内容：""在过去3个月中，您被睡眠问题困扰的程度如何？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,339.0,"Question asked: ""During the past 3 months, how much have you been bothered by trouble sleeping?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21061,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 339."
Online follow-up > Digestive health,153.0,21062,Ever been offered/sought treatment for anxiety,是否曾接受/寻求焦虑治疗,"问题内容：""您是否曾接受或寻求过焦虑治疗？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,503.0,"Question asked: ""Have you ever been offered or sought treatment for anxiety?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21062,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 503."
Online follow-up > Digestive health,153.0,21063,Ever been offered/sought treatment for depression,是否曾接受/寻求抑郁治疗,"问题内容：""您是否曾接受或寻求过抑郁治疗？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,503.0,"Question asked: ""Have you ever been offered or sought treatment for depression?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21063,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 503."
Online follow-up > Digestive health,153.0,21064,Sensitive stomach,胃部敏感,"问题内容：""您是否有胃部敏感？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: ""Do you have a sensitive stomach?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21064,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 502."
Online follow-up > Digestive health,153.0,21065,Family history of IBS,肠易激综合征家族史,"问题内容：""您的父母/兄弟姐妹/子女是否有肠易激综合征家族史？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: ""Do you have a family history of IBS in your parents/siblings/children?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21065,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 502."
Online follow-up > Digestive health,153.0,21066,Born by caesarian section,剖腹产出生,"问题内容：""您是否是剖腹产出生？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: ""Were you born by caesarian section?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21066,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 502."
Online follow-up > Digestive health,153.0,21067,Long-term/recurrent antibiotics as child or teenager,儿童/青少年时期长期/反复使用抗生素,"问题内容：""在儿童或青少年时期，您是否长期或反复（每年3次或以上）使用过抗生素（例如治疗扁桃体炎或痤疮）？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: ""During childhood or as a teenager did you receive long-term or recurrent courses (3 or more per year) of antibiotics (for example for tonsillitis or acne)?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21067,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 502."
Online follow-up > Digestive health,153.0,21068,Diagnosed with coeliac disease or gluten sensitivity,诊断为乳糜泻或麸质敏感,"问题内容：""您是否被诊断为乳糜泻/麸质敏感？""",174637.0,174637.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: ""Have you been diagnosed with coeliac disease/gluten sensitivity?""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21068,"174,637 items of data are available, covering 174,637 participants, encoded using Data-Coding 502."
Online follow-up > Digestive health,153.0,21069,Method of coeliac disease/gluten sensitivity diagnosis,乳糜泻/麸质敏感诊断方法,"问题内容：""当您被诊断为乳糜泻/麸质敏感时，诊断依据是""，用户需从数据编码1862的选项中选择。仅在字段21068回答""是""时提问。",3257.0,3257.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1862.0,"Question asked: ""When you were diagnosed with coeliac disease/gluten sensitivity, was this"" and user was presented with the options listed in Data-Coding 1862 . Question asked if Field 21068 was ""Yes"".",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21069,"3,257 items of data are available, covering 3,257 participants, encoded using Data-Coding 1862."
Online follow-up > Digestive health,153.0,21070,Speed of onset of IBS symptoms,肠易激综合征症状发作速度,"问题内容：""您的肠易激综合征症状是突然（1-2天内）出现还是逐渐发展的？""仅在字段21024回答""是""时提问。",21339.0,21339.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,2730.0,"Question asked: ""Did your IBS symptoms start suddenly, over one or a few days, or did they come on gradually?"" Question asked if Field 21024 was ""Yes"".",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21070,"21,339 items of data are available, covering 21,339 participants, encoded using Data-Coding 2730."
Online follow-up > Digestive health,153.0,21071,Infectious illness diagnosis status when IBS symptoms first began,肠易激症状初发时是否诊断感染性疾病,"问题内容：""当您的肠易激症状初发时（或前两周内），是否被诊断过感染性疾病（'肠胃炎'）？""仅在字段21024回答""是""时提问。",21339.0,21339.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,503.0,"Question asked: ""When your IBS symptoms first began (or up to two weeks before), were you diagnosed with an infectious illness ('tummy bug')?"" Question asked if Field 21024 was ""Yes"".",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21071,"21,339 items of data are available, covering 21,339 participants, encoded using Data-Coding 503."
Online follow-up > Digestive health,153.0,21072,Infection diagnosed alongside IBS when IBS symptoms began,肠易激症状初发时伴随的感染类型,"问题要求参与者从数据编码7310的列表中选择肠易激症状出现前患有的感染类型。仅在字段21024回答""是""且字段21071回答""是""时提问。",2114.0,2114.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,7310.0,"Question asked the participant to select the infection they had had prior to IBS from a list in Data-Coding 7310 . Question asked if both Field 21024 was ""Yes"" and Field 21071 was ""Yes"".",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21072,"2,114 items of data are available, covering 2,114 participants, encoded using Data-Coding 7310."
Online follow-up > Digestive health,153.0,21073,Fever when IBS symptoms first began,肠易激症状初发时是否发热,"问题内容：""当您的肠易激症状初发时（或前两周内），是否出现过发热？""仅在字段21024回答""是""时提问。",21339.0,21339.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,503.0,"Question asked: ""When your IBS symptoms first began (or up to two weeks before), did you have a fever?"" Question asked if Field 21024 was ""Yes"".",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21073,"21,339 items of data are available, covering 21,339 participants, encoded using Data-Coding 503."
Online follow-up > Digestive health,153.0,21074,Diarrhoea when IBS symptoms first began,肠易激症状初发时是否腹泻,"问题内容：""当您的肠易激症状初发时（或前两周内），是否出现过腹泻？""仅在字段21024回答""是""时提问。",21339.0,21339.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,503.0,"Question asked: ""When your IBS symptoms first began (or up to two weeks before), did you have diarrhoea?"" Question asked if Field 21024 was ""Yes"".",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21074,"21,339 items of data are available, covering 21,339 participants, encoded using Data-Coding 503."
Online follow-up > Digestive health,153.0,21075,Bloody diarrhoea when IBS symptoms first began,IBS症状首次出现时的血性腹泻,"询问问题：""当您的IBS症状首次出现时（或之前两周内），您是否有血性腹泻？"" 仅在字段21024和字段21074均为""是""时询问。",10734.0,10734.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1021.0,"Question asked: ""When your IBS symptoms first began (or up to two weeks before), did you have bloody diarrhoea?"" Question asked if both Field 21024 was ""Yes"" and Field 21074 was ""Yes"".",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21075,"10,734 items of data are available, covering 10,734 participants, encoded using Data-Coding 1021."
Online follow-up > Digestive health,153.0,21076,Vomiting when IBS symptoms first began,IBS症状首次出现时的呕吐,"询问问题：""当您的IBS症状首次出现时（或之前两周内），您是否有呕吐？"" 仅在字段21024为""是""时询问。",21339.0,21339.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,503.0,"Question asked: ""When your IBS symptoms first began (or up to two weeks before), did you have vomiting?"" Question asked if Field 21024 was ""Yes"".",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21076,"21,339 items of data are available, covering 21,339 participants, encoded using Data-Coding 503."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21080,Liver volume,肝脏体积,肝脏的体积,39001.0,40871.0,Accruing,Continuous,litres,Data,Derived,Both sexes,Defined (2),No,,Volume of the liver,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21080,"40,871 items of data are available, covering 39,001 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are litres."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21081,Left kidney volume,左肾体积,左肾的体积,39001.0,40871.0,Accruing,Continuous,litres,Data,Derived,Both sexes,Defined (2),No,,Volume of the left kidney,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21081,"40,871 items of data are available, covering 39,001 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are litres."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21082,Right kidney volume,右肾体积,右肾的体积,39001.0,40871.0,Accruing,Continuous,litres,Data,Derived,Both sexes,Defined (2),No,,Volume of the right kidney,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21082,"40,871 items of data are available, covering 39,001 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are litres."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21083,Spleen volume,脾脏体积,脾脏的体积,39001.0,40871.0,Accruing,Continuous,litres,Data,Derived,Both sexes,Defined (2),No,,Volume of the spleen,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21083,"40,871 items of data are available, covering 39,001 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are litres."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21084,Lung volume,肺体积,肺的体积,39001.0,40871.0,Accruing,Continuous,litres,Data,Derived,Both sexes,Defined (2),No,,Volume of the lungs,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21084,"40,871 items of data are available, covering 39,001 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are litres."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21085,Visceral fat volume,内脏脂肪体积,内脏脂肪组织的体积,39001.0,40871.0,Accruing,Continuous,litres,Data,Derived,Both sexes,Defined (2),No,,Volume of the visceral adipose tissue,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21085,"40,871 items of data are available, covering 39,001 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are litres."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21086,Subcutaneous fat volume,皮下脂肪体积,腹部皮下脂肪组织的体积,39001.0,40871.0,Accruing,Continuous,litres,Data,Derived,Both sexes,Defined (2),No,,Volume of the abdominal subcutaneous adipose tissue,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21086,"40,871 items of data are available, covering 39,001 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are litres."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21087,Pancreas volume,胰腺体积,胰腺的体积,37639.0,38101.0,Accruing,Continuous,litres,Data,Derived,Both sexes,Defined (2),No,,Volume of the pancreas,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21087,"38,101 items of data are available, covering 37,639 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are litres."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21088,Liver PDFF (fat fraction),肝脏PDFF（脂肪分数）,来自IDEAL协议的肝脏质子密度脂肪分数,30763.0,32303.0,Accruing,Continuous,%,Data,Derived,Both sexes,Defined (2),No,,Liver PDFF from the IDEAL protocol,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21088,"32,303 items of data are available, covering 30,763 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are %."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21089,Liver iron,肝脏铁含量,来自IDEAL协议的肝脏铁含量,30763.0,32303.0,Accruing,Continuous,mg/g,Data,Derived,Both sexes,Defined (2),No,,Liver iron from the IDEAL protocol,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21089,"32,303 items of data are available, covering 30,763 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are mg/g."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21090,Pancreas PDFF (fat fraction),胰腺PDFF（脂肪分数）,胰腺脂肪分数,29598.0,29935.0,Accruing,Continuous,%,Data,Derived,Both sexes,Defined (2),No,,Pancreas fat fraction,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21090,"29,935 items of data are available, covering 29,598 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are %."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21091,Pancreas iron,胰腺铁含量,胰腺铁含量,29598.0,29935.0,Accruing,Continuous,mg/g,Data,Derived,Both sexes,Defined (2),No,,Pancreas iron,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21091,"29,935 items of data are available, covering 29,598 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are mg/g."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21092,Liver PDFF (fat fraction) - gradient echo,肝脏PDFF（脂肪分数）-梯度回波,来自梯度回波协议的肝脏质子密度脂肪分数,10080.0,10080.0,Ongoing,Continuous,percent,Data,Derived,Both sexes,Defined (1),No,,Liver PDFF from the gradient echo protocol,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21092,"10,080 items of data are available, covering 10,080 participants.Defined-instances run from 2 to 2, labelled using Instancing 2.Units of measurement are percent."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21093,Liver iron (Fe) - gradient echo,肝脏铁含量（Fe）-梯度回波,来自梯度回波协议的肝脏铁含量,10080.0,10080.0,Ongoing,Continuous,mg/g,Data,Derived,Both sexes,Defined (1),No,,Liver iron from the gradient echo protocol,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21093,"10,080 items of data are available, covering 10,080 participants.Defined-instances run from 2 to 2, labelled using Instancing 2.Units of measurement are mg/g."
Assessment centre > Imaging > Abdominal MRI > Abdominal organ composition,158.0,21094,IDP pipeline version,IDP流程版本,数组指示使用哪个版本的Calico机器学习IDP流程生成衍生数据。数组0：来自Liu等人2021年出版物4891的流程。数组1：使用Whitcher等人2022年额外注释更新的流程（https://www.nature.com/articles/s41598-022-07556-y）。数组2：使用Basty等人medRxiv额外注释更新的流程（https://www.medrxiv.org/content/10.1101/2022.02.22.22270091v1）,44509.0,48719.0,Ongoing,Compound,,Data,Auxiliary,Both sexes,Defined (2),Yes (3),,The array indicates which version number of Calico's machine learning IDP pipeline was used to generate the derived data. Array 0: Pipeline from Liu et al 2021 Publication 4891 . Array 1: Updated pipeline trained using additional annotations from Whitcher et al 2022 (https://www.nature.com/articles/s41598-022-07556-y). Array 2: Updated pipeline trained using additional annotations from Basty et al medRxiv (https://www.medrxiv.org/content/10.1101/2022.02.22.22270091v1),https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21094,"48,719 items of data are available, covering 44,509 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Array indices run from 0 to 2."
Assessment centre > Procedural metrics > Process durations,152.0,21611,Reception duration,接待时长,接待时长,90683.0,103417.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Reception duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21611,"103,417 items of data are available, covering 90,683 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21621,Consent duration (imaging),影像检查同意时长,在影像诊所进行同意过程所花费的时间。,90654.0,103387.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,The time taken to perform the consent process at the imaging clinics.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21621,"103,387 items of data are available, covering 90,654 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21622,Touchscreen duration (maging),影像检查触屏时长,影像诊所的触屏时长。,89885.0,102475.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Touchscreen duration at imaging clinic.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21622,"102,475 items of data are available, covering 89,885 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21625,Touchscreen cognitive duration,触屏认知测试时长,完成触屏认知测试所用的时间,75532.0,84711.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Touchscreen cognitive duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21625,"84,711 items of data are available, covering 75,532 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21631,Verbal interview duration,口头访谈时长,完成口头访谈所用的时间,80056.0,88638.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Verbal interview duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21631,"88,638 items of data are available, covering 80,056 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21634,Biometrics duration,生物特征测量时长,完成生物特征测量所用的时间,89344.0,101459.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Biometrics duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21634,"101,459 items of data are available, covering 89,344 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21642,Sample collection duration,样本采集时长,完成样本采集所用的时间,89763.0,102279.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Sample collection duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21642,"102,279 items of data are available, covering 89,763 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21651,Conclusion duration,评估结束阶段时长,完成评估结束阶段所用的时间,90626.0,103350.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Conclusion duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21651,"103,350 items of data are available, covering 90,626 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21661,Imaging screening duration,影像筛查时长,完成影像筛查所用的时间,90639.0,103366.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Imaging screening duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21661,"103,366 items of data are available, covering 90,639 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21662,Brain MRI duration,脑部核磁共振时长,完成脑部核磁共振所用的时间,89494.0,102035.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Brain MRI duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21662,"102,035 items of data are available, covering 89,494 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21663,Chest MRI duration,胸部核磁共振时长,完成胸部核磁共振所用的时间,89567.0,102134.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Chest MRI duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21663,"102,134 items of data are available, covering 89,567 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21664,DXA assessment duration,DXA骨密度评估时长,完成DXA骨密度评估所用的时间,90481.0,103072.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,DXA assessment duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21664,"103,072 items of data are available, covering 90,481 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21665,Carotid ultrasound duration,颈动脉超声时长,完成颈动脉超声所用的时间,90533.0,103114.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Carotid ultrasound duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21665,"103,114 items of data are available, covering 90,533 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21666,ECG at rest duration,静息心电图时长,完成静息心电图所用的时间,90448.0,102866.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,ECG at rest duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21666,"102,866 items of data are available, covering 90,448 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process durations,152.0,21671,Cardiac monitor duration,心脏监测时长,完成心脏监测所用的时间,53859.0,59126.0,Accruing,Integer,seconds,Data,Primary,Both sexes,Defined (2),No,,Cardiac monitor duration,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21671,"59,126 items of data are available, covering 53,859 participants.Defined-instances run from 2 to 3, labelled using Instancing 2.Units of measurement are seconds."
Assessment centre > Procedural metrics > Process authorisation,127.0,21711,Reception authorisation,接待环节授权人,标记该环节已正确完成的UK Biobank工作人员（原始用户名已被伪随机整数替代）,502051.0,625787.0,Accruing,Categorical single,,Data,Auxiliary,Both sexes,Defined (4),No,123.0,This indicates which UK Biobank staff member signed off a stage as having been completed correctly. The original staff usernames have been pseudonyised by replacing them with arbitrary integers.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21711,"625,787 items of data are available, covering 502,051 participants, encoded using Data-Coding 123.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Procedural metrics > Process authorisation,127.0,21721,Consent authorisation,知情同意授权人,标记该环节已正确完成的UK Biobank工作人员（原始用户名已被伪随机整数替代）,502149.0,605534.0,Accruing,Categorical single,,Data,Auxiliary,Both sexes,Defined (4),No,123.0,This indicates which UK Biobank staff member signed off a stage as having been completed correctly. The original staff usernames have been pseudonyised by replacing them with arbitrary integers.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21721,"605,534 items of data are available, covering 502,149 participants, encoded using Data-Coding 123.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Procedural metrics > Process authorisation,127.0,21722,Touchscreen authorisation,触屏测试授权人,标记该环节已正确完成的UK Biobank工作人员（原始用户名已被伪随机整数替代）,501236.0,624002.0,Accruing,Categorical single,,Data,Auxiliary,Both sexes,Defined (4),No,123.0,This indicates which UK Biobank staff member signed off a stage as having been completed correctly. The original staff usernames have been pseudonyised by replacing them with arbitrary integers.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21722,"624,002 items of data are available, covering 501,236 participants, encoded using Data-Coding 123.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Procedural metrics > Process authorisation,127.0,21723,Touchscreen cognitive authorisation (pilot),触屏认知测试授权人（试点）,标记该环节已正确完成的UK Biobank工作人员（原始用户名已被伪随机整数替代）,3710.0,3710.0,Accruing,Categorical single,,Data,Auxiliary,Both sexes,Defined (1),No,123.0,This indicates which UK Biobank staff member signed off a stage as having been completed correctly. The original staff usernames have been pseudonyised by replacing them with arbitrary integers.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21723,"3,710 items of data are available, covering 3,710 participants, encoded using Data-Coding 123.Defined-instances run from 0 to 0, labelled using Instancing 2."
